tipo_revision,hoja,fila,codigo_producto,producto,sede,campo,valor_original,valor_propuesto,motivo,accion_requerida
lote_sin_cantidad,Inventario Medicamento,25,MED-AUTO-023,ENALAPRIL 20 mg tableta,,fecha_vencimiento/lote,46569,2027-07-31,Fecha sin cantidad de lote inequívoca por sede.,Confirmar cantidad y sede de cada lote.
unidad_dispensacion,Inventario Medicamento,26,32A,FRIORUB 180ML AERO,,presentacion/unidad_dispensacion,FRIORUB 180ML AERO,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
categoria_faltante,Inventario Medicamento,27,40A,GLICERINA GOTERO,,categoria,,medicamento,Categoría vacía; propuesta según hoja.,Confirmar categoría.
unidad_dispensacion,Inventario Medicamento,27,40A,GLICERINA GOTERO,,presentacion/unidad_dispensacion,GLICERINA GOTERO,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
codigo_faltante,Inventario Medicamento,28,MED-AUTO-026,GLORANTA SABORES SURTIDOS 100 CARAMELOS (25 SOBRES X 4),,codigo,,MED-AUTO-026,No existe código original.,Asignar el código institucional definitivo.
lote_sin_cantidad,Inventario Medicamento,28,MED-AUTO-026,GLORANTA SABORES SURTIDOS 100 CARAMELOS (25 SOBRES X 4),,fecha_vencimiento/lote,46388,2027-01-31,Fecha sin cantidad de lote inequívoca por sede.,Confirmar cantidad y sede de cada lote.
cantidad_vacia,Inventario Medicamento,29,42A,HIDROXONA MIX DE ELECTROLITOS MORA- 30 SOBRES POLVO,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
cantidad_vacia,Inventario Medicamento,29,42A,HIDROXONA MIX DE ELECTROLITOS MORA- 30 SOBRES POLVO,Z3,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
codigo_faltante,Inventario Medicamento,30,MED-AUTO-028,HIDROXONA MIX DE ELECTROLITOS NARANJA - 30 SOBRES POLVO,,codigo,,MED-AUTO-028,No existe código original.,Asignar el código institucional definitivo.
cantidad_vacia,Inventario Medicamento,30,MED-AUTO-028,HIDROXONA MIX DE ELECTROLITOS NARANJA - 30 SOBRES POLVO,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
cantidad_vacia,Inventario Medicamento,30,MED-AUTO-028,HIDROXONA MIX DE ELECTROLITOS NARANJA - 30 SOBRES POLVO,Z3,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
cantidad_vacia,Inventario Medicamento,31,44A,HIDROXONA MIX DE ELECTROLITOS NEUTRO - 30 SOBRES POLVO,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
cantidad_vacia,Inventario Medicamento,31,44A,HIDROXONA MIX DE ELECTROLITOS NEUTRO - 30 SOBRES POLVO,Z3,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
cantidad_vacia,Inventario Medicamento,32,45A,HIDROXONA MIX DE ELECTROLITOS SABORES- 30 SOBRES POLVO,Z3,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
cantidad_vacia,Inventario Medicamento,33,46A,HIDROXONA MIX DE ELECTROLITOS UVA - 30 SOBRES POLVO,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
cantidad_vacia,Inventario Medicamento,33,46A,HIDROXONA MIX DE ELECTROLITOS UVA - 30 SOBRES POLVO,Z3,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
categoria_faltante,Inventario Medicamento,34,43A,HIPOPRES GOTERO,,categoria,,medicamento,Categoría vacía; propuesta según hoja.,Confirmar categoría.
unidad_dispensacion,Inventario Medicamento,34,43A,HIPOPRES GOTERO,,presentacion/unidad_dispensacion,HIPOPRES GOTERO,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
vencido,Inventario Medicamento,34,43A,HIPOPRES GOTERO,Z3,existencia_actual,1 vencido,0,Toda la cantidad indicada está vencida; existencia utilizable: 0.,Conservar como histórico y confirmar el dato.
categoria_faltante,Inventario Medicamento,35,34A,HISTAPRIM 10MG/1 ML AMPOLLA,,categoria,,medicamento,Categoría vacía; propuesta según hoja.,Confirmar categoría.
codigo_faltante,Inventario Medicamento,36,MED-AUTO-034,HISTAPRIN 4MG/32MG - 10 COMPRIMIDOS,,codigo,,MED-AUTO-034,No existe código original.,Asignar el código institucional definitivo.
lote_sin_cantidad,Inventario Medicamento,36,MED-AUTO-034,HISTAPRIN 4MG/32MG - 10 COMPRIMIDOS,,fecha_vencimiento/lote,47300,2029-07-31,Fecha sin cantidad de lote inequívoca por sede.,Confirmar cantidad y sede de cada lote.
lote_sin_cantidad,Inventario Medicamento,37,23A,I.R.S. - 1 TABLETA,,fecha_vencimiento/lote,46296,2026-10-31,Fecha sin cantidad de lote inequívoca por sede.,Confirmar cantidad y sede de cada lote.
unidad_dispensacion,Inventario Medicamento,38,55A,IBATROPIUM VIAL 20ML VIJOSA,,presentacion/unidad_dispensacion,IBATROPIUM VIAL 20ML VIJOSA,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
vencido,Inventario Medicamento,39,6A,IBUPROFENO GENFAR 600MG - 50 TABLETA,,fecha_vencimiento/lote,46174,2026-06-30,Fecha histórica vencida sin cantidad distribuida por sede.,Confirmar cantidad y sede de cada lote.
contenido_presentacion,Inventario Medicamento,40,51A,LANSOPRAZOL CAJA - 100 UNIDADES,,contenido_por_presentacion,LANSOPRAZOL CAJA - 100 UNIDADES,100,Inventario expresado en caja con contenido interno; la atención probablemente use unidades internas.,Confirmar unidad de inventario y conversión antes de multiplicar existencias.
lote_sin_cantidad,Inventario Medicamento,40,51A,LANSOPRAZOL CAJA - 100 UNIDADES,,fecha_vencimiento/lote,46722,2027-12-31,Fecha sin cantidad de lote inequívoca por sede.,Confirmar cantidad y sede de cada lote.
unidad_dispensacion,Inventario Medicamento,41,30A,LEVEN (NEUROTROPAS) 25000 - 1 SOLUCION INYECTABLE (2+1),,presentacion/unidad_dispensacion,LEVEN (NEUROTROPAS) 25000 - 1 SOLUCION INYECTABLE (2+1),unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
lote_sin_cantidad,Inventario Medicamento,45,28A,METOCARBAMOL ECOMED 500MG - 10 TABLETAS,,fecha_vencimiento/lote,47058,2028-11-30,Fecha sin cantidad de lote inequívoca por sede.,Confirmar cantidad y sede de cada lote.
codigo_faltante,Inventario Medicamento,46,MED-AUTO-044,METRONIDAZOL 500 MG TABLETAS,,codigo,,MED-AUTO-044,No existe código original.,Asignar el código institucional definitivo.
categoria_faltante,Inventario Medicamento,46,MED-AUTO-044,METRONIDAZOL 500 MG TABLETAS,,categoria,,medicamento,Categoría vacía; propuesta según hoja.,Confirmar categoría.
lote_sin_cantidad,Inventario Medicamento,46,MED-AUTO-044,METRONIDAZOL 500 MG TABLETAS,,fecha_vencimiento/lote,46844,2028-04-30,Fecha sin cantidad de lote inequívoca por sede.,Confirmar cantidad y sede de cada lote.
lote_sin_cantidad,Inventario Medicamento,48,29A,NAUSEOL 50MG - 1 COMPRIMIDO,,fecha_vencimiento/lote,46539,2027-06-30,Fecha sin cantidad de lote inequívoca por sede.,Confirmar cantidad y sede de cada lote.
unidad_dispensacion,Inventario Medicamento,49,20A,NAZIL OFTENO 0.1% 15ML SOLUCION OFTALMICA,,presentacion/unidad_dispensacion,NAZIL OFTENO 0.1% 15ML SOLUCION OFTALMICA,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Medicamento,52,4A,NEOBOL 150 (30ML),,presentacion/unidad_dispensacion,NEOBOL 150 (30ML),unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Medicamento,53,10A,NEUOMONIL 1 SOLUCION INYECTABLE,,presentacion/unidad_dispensacion,NEUOMONIL 1 SOLUCION INYECTABLE,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Medicamento,54,60A,OMEPRAZOL,,presentacion/unidad_dispensacion,OMEPRAZOL,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Medicamento,55,18A,OTIK 10ML SOLUCION OTICA,,presentacion/unidad_dispensacion,OTIK 10ML SOLUCION OTICA,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
multiples_vencimientos,Inventario Medicamento,56,24A,PASINERVA - 5 CAPSULAS,,fecha_vencimiento/lote,08/26  - 6/27,,Múltiples fechas sin distribución de cantidades.,Confirmar cantidad y sede de cada lote.
unidad_dispensacion,Inventario Medicamento,57,15A,REFRESH TEARS 0.5% 15ML SOLUCION OFTALMICA,,presentacion/unidad_dispensacion,REFRESH TEARS 0.5% 15ML SOLUCION OFTALMICA,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Medicamento,59,26A,RUIGEL PLUS BT MENA 360ML ANTIACIDO,,presentacion/unidad_dispensacion,RUIGEL PLUS BT MENA 360ML ANTIACIDO,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Medicamento,61,53A,SALBUTAMO SELECTPHARMA,,presentacion/unidad_dispensacion,SALBUTAMO SELECTPHARMA,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
vencido,Inventario Medicamento,61,53A,SALBUTAMO SELECTPHARMA,Z3,existencia_actual,2 vencidos,0,Toda la cantidad indicada está vencida; existencia utilizable: 0.,Conservar como histórico y confirmar el dato.
unidad_dispensacion,Inventario Medicamento,62,54A,SERTAL COMPUESTO / KLORPROSIN SOL INYECTABLE,,presentacion/unidad_dispensacion,SERTAL COMPUESTO / KLORPROSIN SOL INYECTABLE,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
lote_sin_cantidad,Inventario Medicamento,63,27A,SERTAL COMPUESTO 125MG/10MG - 1 COMPRIMIDO,,fecha_vencimiento/lote,46266,2026-09-30,Fecha sin cantidad de lote inequívoca por sede.,Confirmar cantidad y sede de cada lote.
lote_sin_cantidad,Inventario Medicamento,65,5A,TABCIN GRIPE Y TOS - 60 TABLETAS,,fecha_vencimiento/lote,46661,2027-10-31,Fecha sin cantidad de lote inequívoca por sede.,Confirmar cantidad y sede de cada lote.
lote_sin_cantidad,Inventario Medicamento,66,14A,TRIPROFEN (IBUPROFENO) 800MG - 10 TABLETA,,fecha_vencimiento/lote,47392,2029-10-31,Fecha sin cantidad de lote inequívoca por sede.,Confirmar cantidad y sede de cada lote.
lote_sin_cantidad,Inventario Medicamento,67,25A,VITAFLENACO - 1 CAPSULA GEL,,fecha_vencimiento/lote,46539,2027-06-30,Fecha sin cantidad de lote inequívoca por sede.,Confirmar cantidad y sede de cada lote.
vencido,Inventario Medicamento,68,56A,VITAMINA K / BONADINA AMPOLLA,Z3,existencia_actual,22 vencidas,0,Toda la cantidad indicada está vencida; existencia utilizable: 0.,Conservar como histórico y confirmar el dato.
codigo_faltante,Inventario Medicamento,69,MED-AUTO-067,BEPANTHENE PROTECTOR,,codigo,,MED-AUTO-067,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Medicamento,69,MED-AUTO-067,BEPANTHENE PROTECTOR,,presentacion/unidad_dispensacion,BEPANTHENE PROTECTOR,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_vacia,Inventario Medicamento,69,MED-AUTO-067,BEPANTHENE PROTECTOR,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
codigo_faltante,Inventario Medicamento,70,MED-AUTO-068,METOCLOPRAMIDA AMPOLLA,,codigo,,MED-AUTO-068,No existe código original.,Asignar el código institucional definitivo.
cantidad_vacia,Inventario Medicamento,70,MED-AUTO-068,METOCLOPRAMIDA AMPOLLA,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
vencido,Inventario Medicamento,70,MED-AUTO-068,METOCLOPRAMIDA AMPOLLA,Z3,existencia_actual,4 VENCEN 20/07/2026,0,4 unidad(es) vencidas el 2026-07-20; existencia utilizable: 0.,Conservar como histórico y confirmar el dato.
codigo_faltante,Inventario Medicamento,71,MED-AUTO-069,LOPERAMIDA,,codigo,,MED-AUTO-069,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Medicamento,71,MED-AUTO-069,LOPERAMIDA,,presentacion/unidad_dispensacion,LOPERAMIDA,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_vacia,Inventario Medicamento,71,MED-AUTO-069,LOPERAMIDA,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
codigo_faltante,Inventario Medicamento,72,MED-AUTO-070,ENZIMAS,,codigo,,MED-AUTO-070,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Medicamento,72,MED-AUTO-070,ENZIMAS,,presentacion/unidad_dispensacion,ENZIMAS,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_vacia,Inventario Medicamento,72,MED-AUTO-070,ENZIMAS,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
codigo_faltante,Inventario Medicamento,73,MED-AUTO-071,ALKA ZELTER,,codigo,,MED-AUTO-071,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Medicamento,73,MED-AUTO-071,ALKA ZELTER,,presentacion/unidad_dispensacion,ALKA ZELTER,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_vacia,Inventario Medicamento,73,MED-AUTO-071,ALKA ZELTER,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
codigo_faltante,Inventario Medicamento,74,MED-AUTO-072,VASELINA,,codigo,,MED-AUTO-072,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Medicamento,74,MED-AUTO-072,VASELINA,,presentacion/unidad_dispensacion,VASELINA,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_vacia,Inventario Medicamento,74,MED-AUTO-072,VASELINA,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
codigo_faltante,Inventario Medicamento,75,MED-AUTO-073,KURA KURA,,codigo,,MED-AUTO-073,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Medicamento,75,MED-AUTO-073,KURA KURA,,presentacion/unidad_dispensacion,KURA KURA,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_vacia,Inventario Medicamento,75,MED-AUTO-073,KURA KURA,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
codigo_faltante,Inventario Medicamento,76,MED-AUTO-074,TROPIUM,,codigo,,MED-AUTO-074,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Medicamento,76,MED-AUTO-074,TROPIUM,,presentacion/unidad_dispensacion,TROPIUM,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_vacia,Inventario Medicamento,76,MED-AUTO-074,TROPIUM,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
codigo_faltante,Inventario Medicamento,77,MED-AUTO-075,BUDENA,,codigo,,MED-AUTO-075,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Medicamento,77,MED-AUTO-075,BUDENA,,presentacion/unidad_dispensacion,BUDENA,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_vacia,Inventario Medicamento,77,MED-AUTO-075,BUDENA,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
codigo_faltante,Inventario Medicamento,78,MED-AUTO-076,SUEROS,,codigo,,MED-AUTO-076,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Medicamento,78,MED-AUTO-076,SUEROS,,presentacion/unidad_dispensacion,SUEROS,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_vacia,Inventario Medicamento,78,MED-AUTO-076,SUEROS,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
unidad_dispensacion,Inventario Insumo,5,2B,AGUJAS #18,,presentacion/unidad_dispensacion,AGUJAS #18,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Insumo,6,3B,AGUJAS #23,,presentacion/unidad_dispensacion,AGUJAS #23,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Insumo,7,4B,ALCOHOL ETILICO,,presentacion/unidad_dispensacion,ALCOHOL ETILICO,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
codigo_faltante,Inventario Insumo,8,INS-AUTO-005,AGUA ESTERIL,,codigo,,INS-AUTO-005,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Insumo,8,INS-AUTO-005,AGUA ESTERIL,,presentacion/unidad_dispensacion,AGUA ESTERIL,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_vacia,Inventario Insumo,8,INS-AUTO-005,AGUA ESTERIL,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
unidad_dispensacion,Inventario Insumo,11,7B,ANGIOCATH #20,,presentacion/unidad_dispensacion,ANGIOCATH #20,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
codigo_faltante,Inventario Insumo,12,INS-AUTO-009,ANGIOCATH #22,,codigo,,INS-AUTO-009,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Insumo,12,INS-AUTO-009,ANGIOCATH #22,,presentacion/unidad_dispensacion,ANGIOCATH #22,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
codigo_faltante,Inventario Insumo,13,INS-AUTO-010,ANGIOCATH #24,,codigo,,INS-AUTO-010,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Insumo,13,INS-AUTO-010,ANGIOCATH #24,,presentacion/unidad_dispensacion,ANGIOCATH #24,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
codigo_faltante,Inventario Insumo,14,INS-AUTO-011,BAJA LENGUAS LIMPIAS,,codigo,,INS-AUTO-011,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Insumo,14,INS-AUTO-011,BAJA LENGUAS LIMPIAS,,presentacion/unidad_dispensacion,BAJA LENGUAS LIMPIAS,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Insumo,15,8B,BUDENA BUDEGEN 10ML,,presentacion/unidad_dispensacion,BUDENA BUDEGEN 10ML,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
codigo_faltante,Inventario Insumo,16,INS-AUTO-013,CABESTRILLO ADULTO,,codigo,,INS-AUTO-013,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Insumo,16,INS-AUTO-013,CABESTRILLO ADULTO,,presentacion/unidad_dispensacion,CABESTRILLO ADULTO,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
unidad_dispensacion,Inventario Insumo,17,9B,CANULAS BINASALES,,presentacion/unidad_dispensacion,CANULAS BINASALES,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_ambigua,Inventario Insumo,17,9B,CANULAS BINASALES,Z3,existencia_actual,En uso,,“En uso” no incluye cantidad; no se asume una unidad.,Indicar la cantidad disponible.
codigo_faltante,Inventario Insumo,20,INS-AUTO-017,ESPARADRAPO 3 PULGADAS,,codigo,,INS-AUTO-017,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Insumo,20,INS-AUTO-017,ESPARADRAPO 3 PULGADAS,,presentacion/unidad_dispensacion,ESPARADRAPO 3 PULGADAS,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
codigo_faltante,Inventario Insumo,21,INS-AUTO-018,ESPARADRAPO 1PULGADAS,,codigo,,INS-AUTO-018,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Insumo,21,INS-AUTO-018,ESPARADRAPO 1PULGADAS,,presentacion/unidad_dispensacion,ESPARADRAPO 1PULGADAS,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
cantidad_vacia,Inventario Insumo,21,INS-AUTO-018,ESPARADRAPO 1PULGADAS,Z9,existencia_actual,,,Valor vacío; no se asume cero.,Indicar la cantidad disponible.
unidad_dispensacion,Inventario Insumo,22,12B,FERULA DE DEDO GRANDE,,presentacion/unidad_dispensacion,FERULA DE DEDO GRANDE,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
codigo_faltante,Inventario Insumo,23,INS-AUTO-020,FERULA DE DEDO PEQUEÑO,,codigo,,INS-AUTO-020,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Insumo,23,INS-AUTO-020,FERULA DE DEDO PEQUEÑO,,presentacion/unidad_dispensacion,FERULA DE DEDO PEQUEÑO,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
codigo_faltante,Inventario Insumo,24,INS-AUTO-021,GASAS VASELINADAS,,codigo,,INS-AUTO-021,No existe código original.,Asignar el código institucional definitivo.
unidad_dispensacion,Inventario Insumo,24,INS-AUTO-021,GASAS VASELINADAS,,presentacion/unidad_dispensacion,GASAS VASELINADAS,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
