codigo,nombre,categoria,presentacion,unidad_medida,es_consumible,contenido_por_presentacion,unidad_dispensacion,permite_registro_sin_descuento,criterio_clasificacion,descripcion_original,hoja_origen,fila_origen,requiere_revision
19A,DESKETOPROFENO 25 MG TABLETA,medicamento,tableta,tableta,true,1,tableta,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,DESKETOPROFENO 25 MG TABLETA,Inventario Medicamento,13,false
48A,DESKETOPROFENO AMPOLLA,medicamento,ampolla,ampolla,true,1,ampolla,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,DESKETOPROFENO AMPOLLA,Inventario Medicamento,14,false
59A,DESLORATADINA 5MG - 10 TABLETA,medicamento,tableta,tableta,true,10,tableta,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,DESLORATADINA 5MG - 10 TABLETA,Inventario Medicamento,15,false
49A,DEXAMETASONA AMPOLLA,medicamento,ampolla,ampolla,true,1,ampolla,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,DEXAMETASONA AMPOLLA,Inventario Medicamento,16,false
50A,DICLOFENACO 50 mg TABLETA,medicamento,tableta,tableta,true,1,tableta,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,DICLOFENACO 50 mg TABLETA,Inventario Medicamento,17,false
MED-AUTO-016,DICLOFENACO 75 MG/3 ML AMPOLLA,medicamento,ampolla,ampolla,true,1,ampolla,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,DICLOFENACO 75 MG/3 ML AMPOLLA,Inventario Medicamento,18,true
11A,DICLOLEV 0.01% 20G GEL,medicamento,gel,gel,true,1,gel,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,DICLOLEV 0.01% 20G GEL,Inventario Medicamento,19,false
39A,DICLOLEV 75MG/3ML - 2 SOLUCION INYECTABLE IM (KIT),medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,DICLOLEV 75MG/3ML - 2 SOLUCION INYECTABLE IM (KIT),Inventario Medicamento,20,true
MED-AUTO-019,DIPIRONA 1G/2 ML AMPOLLA,medicamento,ampolla,ampolla,true,1,ampolla,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,DIPIRONA 1G/2 ML AMPOLLA,Inventario Medicamento,21,true
7A,DOLO KALORUB 180ML AERO,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,DOLO KALORUB 180ML AERO,Inventario Medicamento,22,true
21A,DOLONEUROBION - 1 TABLETA,medicamento,tableta,tableta,true,1,tableta,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,DOLONEUROBION - 1 TABLETA,Inventario Medicamento,23,false
36A,DORIVAL 200MG - 36 CAPSULAS GEL,medicamento,cápsula,cápsula,true,36,capsula,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,DORIVAL 200MG - 36 CAPSULAS GEL,Inventario Medicamento,24,false
MED-AUTO-023,ENALAPRIL 20 mg tableta,medicamento,tableta,tableta,true,1,tableta,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,ENALAPRIL 20 mg tableta,Inventario Medicamento,25,true
32A,FRIORUB 180ML AERO,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,FRIORUB 180ML AERO,Inventario Medicamento,26,true
40A,GLICERINA GOTERO,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,GLICERINA GOTERO,Inventario Medicamento,27,true
MED-AUTO-026,GLORANTA SABORES SURTIDOS 100 CARAMELOS (25 SOBRES X 4),medicamento,sobre,sobre,true,25,sobre,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,GLORANTA SABORES SURTIDOS 100 CARAMELOS (25 SOBRES X 4),Inventario Medicamento,28,true
42A,HIDROXONA MIX DE ELECTROLITOS MORA- 30 SOBRES POLVO,medicamento,sobre,sobre,true,30,sobre,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,HIDROXONA MIX DE ELECTROLITOS MORA- 30 SOBRES POLVO,Inventario Medicamento,29,false
MED-AUTO-028,HIDROXONA MIX DE ELECTROLITOS NARANJA - 30 SOBRES POLVO,medicamento,sobre,sobre,true,30,sobre,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,HIDROXONA MIX DE ELECTROLITOS NARANJA - 30 SOBRES POLVO,Inventario Medicamento,30,true
44A,HIDROXONA MIX DE ELECTROLITOS NEUTRO - 30 SOBRES POLVO,medicamento,sobre,sobre,true,30,sobre,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,HIDROXONA MIX DE ELECTROLITOS NEUTRO - 30 SOBRES POLVO,Inventario Medicamento,31,false
45A,HIDROXONA MIX DE ELECTROLITOS SABORES- 30 SOBRES POLVO,medicamento,sobre,sobre,true,30,sobre,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,HIDROXONA MIX DE ELECTROLITOS SABORES- 30 SOBRES POLVO,Inventario Medicamento,32,false
46A,HIDROXONA MIX DE ELECTROLITOS UVA - 30 SOBRES POLVO,medicamento,sobre,sobre,true,30,sobre,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,HIDROXONA MIX DE ELECTROLITOS UVA - 30 SOBRES POLVO,Inventario Medicamento,33,false
43A,HIPOPRES GOTERO,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,HIPOPRES GOTERO,Inventario Medicamento,34,true
34A,HISTAPRIM 10MG/1 ML AMPOLLA,medicamento,ampolla,ampolla,true,1,ampolla,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,HISTAPRIM 10MG/1 ML AMPOLLA,Inventario Medicamento,35,true
MED-AUTO-034,HISTAPRIN 4MG/32MG - 10 COMPRIMIDOS,medicamento,comprimido,comprimido,true,10,comprimido,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,HISTAPRIN 4MG/32MG - 10 COMPRIMIDOS,Inventario Medicamento,36,true
23A,I.R.S. - 1 TABLETA,medicamento,tableta,tableta,true,1,tableta,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,I.R.S. - 1 TABLETA,Inventario Medicamento,37,false
55A,IBATROPIUM VIAL 20ML VIJOSA,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,IBATROPIUM VIAL 20ML VIJOSA,Inventario Medicamento,38,true
6A,IBUPROFENO GENFAR 600MG - 50 TABLETA,medicamento,tableta,tableta,true,50,tableta,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,IBUPROFENO GENFAR 600MG - 50 TABLETA,Inventario Medicamento,39,false
51A,LANSOPRAZOL CAJA - 100 UNIDADES,medicamento,caja,caja,true,100,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,LANSOPRAZOL CAJA - 100 UNIDADES,Inventario Medicamento,40,true
30A,LEVEN (NEUROTROPAS) 25000 - 1 SOLUCION INYECTABLE (2+1),medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,LEVEN (NEUROTROPAS) 25000 - 1 SOLUCION INYECTABLE (2+1),Inventario Medicamento,41,true
16A,LOMZOL 400MG - 24 TABLETA,medicamento,tableta,tableta,true,24,tableta,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,LOMZOL 400MG - 24 TABLETA,Inventario Medicamento,42,false
37A,LORATADINA FAMANDINA 10MG - 1 TABLETA,medicamento,tableta,tableta,true,1,tableta,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,LORATADINA FAMANDINA 10MG - 1 TABLETA,Inventario Medicamento,43,false
52A,METOCARBAMOL 100MG/5ML AMPOLLA,medicamento,ampolla,ampolla,true,1,ampolla,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,METOCARBAMOL 100MG/5ML AMPOLLA,Inventario Medicamento,44,false
28A,METOCARBAMOL ECOMED 500MG - 10 TABLETAS,medicamento,tableta,tableta,true,10,tableta,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,METOCARBAMOL ECOMED 500MG - 10 TABLETAS,Inventario Medicamento,45,false
MED-AUTO-044,METRONIDAZOL 500 MG TABLETAS,medicamento,tableta,tableta,true,1,tableta,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,METRONIDAZOL 500 MG TABLETAS,Inventario Medicamento,46,true
58A,NAUSEOL 50 MG/1ML AMPOLLA,medicamento,ampolla,ampolla,true,1,ampolla,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,NAUSEOL 50 MG/1ML AMPOLLA,Inventario Medicamento,47,false
29A,NAUSEOL 50MG - 1 COMPRIMIDO,medicamento,comprimido,comprimido,true,1,comprimido,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,NAUSEOL 50MG - 1 COMPRIMIDO,Inventario Medicamento,48,false
20A,NAZIL OFTENO 0.1% 15ML SOLUCION OFTALMICA,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,NAZIL OFTENO 0.1% 15ML SOLUCION OFTALMICA,Inventario Medicamento,49,true
35A,NEO MELUBRINA 500MG - 4 TABLETA,medicamento,tableta,tableta,true,4,tableta,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,NEO MELUBRINA 500MG - 4 TABLETA,Inventario Medicamento,50,false
1A,NEOBAL 30G CREMA,medicamento,crema,crema,true,1,crema,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,NEOBAL 30G CREMA,Inventario Medicamento,51,false
4A,NEOBOL 150 (30ML),medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,NEOBOL 150 (30ML),Inventario Medicamento,52,true
10A,NEUOMONIL 1 SOLUCION INYECTABLE,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,NEUOMONIL 1 SOLUCION INYECTABLE,Inventario Medicamento,53,true
60A,OMEPRAZOL,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,OMEPRAZOL,Inventario Medicamento,54,true
18A,OTIK 10ML SOLUCION OTICA,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,OTIK 10ML SOLUCION OTICA,Inventario Medicamento,55,true
24A,PASINERVA - 5 CAPSULAS,medicamento,cápsula,cápsula,true,5,capsula,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,PASINERVA - 5 CAPSULAS,Inventario Medicamento,56,false
15A,REFRESH TEARS 0.5% 15ML SOLUCION OFTALMICA,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,REFRESH TEARS 0.5% 15ML SOLUCION OFTALMICA,Inventario Medicamento,57,true
17A,REPANTHENE REGENERADORA 5% 30G CREMA,medicamento,crema,crema,true,1,crema,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,REPANTHENE REGENERADORA 5% 30G CREMA,Inventario Medicamento,58,false
26A,RUIGEL PLUS BT MENA 360ML ANTIACIDO,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,RUIGEL PLUS BT MENA 360ML ANTIACIDO,Inventario Medicamento,59,true
2A,SAL ANDREWS 50 SOBRES POLVO,medicamento,sobre,sobre,true,50,sobre,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,SAL ANDREWS 50 SOBRES POLVO,Inventario Medicamento,60,false
53A,SALBUTAMO SELECTPHARMA,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,SALBUTAMO SELECTPHARMA,Inventario Medicamento,61,true
54A,SERTAL COMPUESTO / KLORPROSIN SOL INYECTABLE,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,SERTAL COMPUESTO / KLORPROSIN SOL INYECTABLE,Inventario Medicamento,62,true
27A,SERTAL COMPUESTO 125MG/10MG - 1 COMPRIMIDO,medicamento,comprimido,comprimido,true,1,comprimido,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,SERTAL COMPUESTO 125MG/10MG - 1 COMPRIMIDO,Inventario Medicamento,63,false
13A,SULFADIAZINA DE PLATA GENFAR 1% 15G CREMA,medicamento,crema,crema,true,1,crema,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,SULFADIAZINA DE PLATA GENFAR 1% 15G CREMA,Inventario Medicamento,64,false
5A,TABCIN GRIPE Y TOS - 60 TABLETAS,medicamento,tableta,tableta,true,60,tableta,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,TABCIN GRIPE Y TOS - 60 TABLETAS,Inventario Medicamento,65,false
14A,TRIPROFEN (IBUPROFENO) 800MG - 10 TABLETA,medicamento,tableta,tableta,true,10,tableta,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,TRIPROFEN (IBUPROFENO) 800MG - 10 TABLETA,Inventario Medicamento,66,false
25A,VITAFLENACO - 1 CAPSULA GEL,medicamento,cápsula,cápsula,true,1,capsula,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,VITAFLENACO - 1 CAPSULA GEL,Inventario Medicamento,67,false
56A,VITAMINA K / BONADINA AMPOLLA,medicamento,ampolla,ampolla,true,1,ampolla,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,VITAMINA K / BONADINA AMPOLLA,Inventario Medicamento,68,false
MED-AUTO-067,BEPANTHENE PROTECTOR,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,BEPANTHENE PROTECTOR,Inventario Medicamento,69,true
MED-AUTO-068,METOCLOPRAMIDA AMPOLLA,medicamento,ampolla,ampolla,true,1,ampolla,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,METOCLOPRAMIDA AMPOLLA,Inventario Medicamento,70,true
MED-AUTO-069,LOPERAMIDA,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,LOPERAMIDA,Inventario Medicamento,71,true
MED-AUTO-070,ENZIMAS,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,ENZIMAS,Inventario Medicamento,72,true
MED-AUTO-071,ALKA ZELTER,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,ALKA ZELTER,Inventario Medicamento,73,true
MED-AUTO-072,VASELINA,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,VASELINA,Inventario Medicamento,74,true
MED-AUTO-073,KURA KURA,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,KURA KURA,Inventario Medicamento,75,true
MED-AUTO-074,TROPIUM,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,TROPIUM,Inventario Medicamento,76,true
MED-AUTO-075,BUDENA,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,BUDENA,Inventario Medicamento,77,true
MED-AUTO-076,SUEROS,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,SUEROS,Inventario Medicamento,78,true
1B,AGUA OXIGENADA GALÓN,insumo,galón,galón,true,1,galón,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,AGUA OXIGENADA GALÓN,Inventario Insumo,4,false
2B,AGUJAS #18,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,AGUJAS #18,Inventario Insumo,5,true
3B,AGUJAS #23,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,AGUJAS #23,Inventario Insumo,6,true
4B,ALCOHOL ETILICO,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,ALCOHOL ETILICO,Inventario Insumo,7,true
INS-AUTO-005,AGUA ESTERIL,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,AGUA ESTERIL,Inventario Insumo,8,true
5B,ALGODÓN ROLLO,insumo,rollo,rollo,true,1,rollo,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,ALGODÓN ROLLO,Inventario Insumo,9,false
6B,AMPOLLAS PARA ESTERILIZAR EQUIPO 5cc,insumo,ampolla,ampolla,true,1,ampolla,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,AMPOLLAS PARA ESTERILIZAR EQUIPO 5cc,Inventario Insumo,10,false
7B,ANGIOCATH #20,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,ANGIOCATH #20,Inventario Insumo,11,true
INS-AUTO-009,ANGIOCATH #22,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,ANGIOCATH #22,Inventario Insumo,12,true
INS-AUTO-010,ANGIOCATH #24,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,ANGIOCATH #24,Inventario Insumo,13,true
INS-AUTO-011,BAJA LENGUAS LIMPIAS,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,BAJA LENGUAS LIMPIAS,Inventario Insumo,14,true
8B,BUDENA BUDEGEN 10ML,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,BUDENA BUDEGEN 10ML,Inventario Insumo,15,true
INS-AUTO-013,CABESTRILLO ADULTO,insumo,,unidad,false,1,unidad,true,Clasificado como reutilizable según regla institucional definitiva.,CABESTRILLO ADULTO,Inventario Insumo,16,true
9B,CANULAS BINASALES,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,CANULAS BINASALES,Inventario Insumo,17,true
10B,CLORHEXIDINA GALON,insumo,galón,galón,true,1,galón,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,CLORHEXIDINA GALON,Inventario Insumo,18,false
11B,CURITAS CAJA,insumo,caja,caja,true,1,caja,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,CURITAS CAJA,Inventario Insumo,19,false
INS-AUTO-017,ESPARADRAPO 3 PULGADAS,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,ESPARADRAPO 3 PULGADAS,Inventario Insumo,20,true
INS-AUTO-018,ESPARADRAPO 1PULGADAS,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,ESPARADRAPO 1PULGADAS,Inventario Insumo,21,true
12B,FERULA DE DEDO GRANDE,insumo,,unidad,false,1,unidad,true,Clasificado como reutilizable según regla institucional definitiva.,FERULA DE DEDO GRANDE,Inventario Insumo,22,true
INS-AUTO-020,FERULA DE DEDO PEQUEÑO,insumo,,unidad,false,1,unidad,true,Clasificado como reutilizable según regla institucional definitiva.,FERULA DE DEDO PEQUEÑO,Inventario Insumo,23,true
INS-AUTO-021,GASAS VASELINADAS,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,GASAS VASELINADAS,Inventario Insumo,24,true
INS-AUTO-022,GUANTES ESTERILES 6.5,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,GUANTES ESTERILES 6.5,Inventario Insumo,25,true
13B,HILO DE SUTURA NYLON 2-0,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,HILO DE SUTURA NYLON 2-0,Inventario Insumo,26,true
INS-AUTO-024,HILO DE SUTURA NYLON 3-0,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,HILO DE SUTURA NYLON 3-0,Inventario Insumo,27,true
INS-AUTO-025,HILO DE SUTURA VICRIL 2-0,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,HILO DE SUTURA VICRIL 2-0,Inventario Insumo,28,true
INS-AUTO-026,HILO DE SUTURA SEDA 4-0,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,HILO DE SUTURA SEDA 4-0,Inventario Insumo,29,true
14B,HISOPOS - 100 UNIDADES,insumo,unidad,unidad,true,100,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,HISOPOS - 100 UNIDADES,Inventario Insumo,30,false
INS-AUTO-028,HOJAS DE BISTURY,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,HOJAS DE BISTURY,Inventario Insumo,31,true
15B,JERINGA DE 1 CC,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,JERINGA DE 1 CC,Inventario Insumo,32,true
16B,JERINGA POMEROY,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,JERINGA POMEROY,Inventario Insumo,33,true
INS-AUTO-031,JERINGAS DE 10cc CAJA - 100 UNIDADES,insumo,caja,caja,true,100,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,JERINGAS DE 10cc CAJA - 100 UNIDADES,Inventario Insumo,34,true
INS-AUTO-032,JERINGAS DE 3cc CAJA - 100 UNIDADES,insumo,caja,caja,true,100,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,JERINGAS DE 3cc CAJA - 100 UNIDADES,Inventario Insumo,35,true
17B,JERINGAS DE 5cc CAJA - 100,insumo,caja,caja,true,1,caja,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,JERINGAS DE 5cc CAJA - 100,Inventario Insumo,36,false
18B,LANCETAS PARA GLUCÓMETRO,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,LANCETAS PARA GLUCÓMETRO,Inventario Insumo,37,true
19B,LIDOCAINA 2% FRASCO,insumo,frasco,frasco,true,1,frasco,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,LIDOCAINA 2% FRASCO,Inventario Insumo,38,false
20B,MASCARILLA PARA NEBULIZAR,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,MASCARILLA PARA NEBULIZAR,Inventario Insumo,39,true
21B,MASCARILLAS CON RESERVORIO,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,MASCARILLAS CON RESERVORIO,Inventario Insumo,40,true
22B,MICROPORE 1 PULGADA,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,MICROPORE 1 PULGADA,Inventario Insumo,41,true
23B,MICROPORE 3 PULGADAS,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,MICROPORE 3 PULGADAS,Inventario Insumo,42,true
24B,PIEZA DE GASA,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,PIEZA DE GASA,Inventario Insumo,43,true
25B,SOL. HARTMAN 500ML,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,SOL. HARTMAN 500ML,Inventario Insumo,44,true
26B,SOL. SN 500ML,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,SOL. SN 500ML,Inventario Insumo,45,true
INS-AUTO-043,SOL. SSN 100ML,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,SOL. SSN 100ML,Inventario Insumo,46,true
27B,STOPPER,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,STOPPER,Inventario Insumo,47,true
28B,TIJERA PARA CORTAR PUNTOS DE SUTURA 4.5,insumo,,unidad,false,1,unidad,true,Clasificado como reutilizable según regla institucional definitiva.,TIJERA PARA CORTAR PUNTOS DE SUTURA 4.5,Inventario Insumo,48,true
29B,TIRAS DE GLUCÓMETRO NIPRO PREMIER,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,TIRAS DE GLUCÓMETRO NIPRO PREMIER,Inventario Insumo,49,true
30B,TIRAS DE GLUCÓMETRO ON CALL,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,TIRAS DE GLUCÓMETRO ON CALL,Inventario Insumo,50,true
31B,VENDAS DE GASA DE 2 PULGADAS,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,VENDAS DE GASA DE 2 PULGADAS,Inventario Insumo,51,true
32B,VENDAS ELASTICAS 2 PULGADAS,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,VENDAS ELASTICAS 2 PULGADAS,Inventario Insumo,52,true
33B,VENDAS ELASTICAS 3 PULGADAS,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,VENDAS ELASTICAS 3 PULGADAS,Inventario Insumo,53,true
34B,VENDAS ELASTICAS 4 PULGADAS,insumo,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,VENDAS ELASTICAS 4 PULGADAS,Inventario Insumo,54,true
